Energy :  -2.7909E+04

 sample of final configuration

      i       x(i)            y(i)            z(i)           fx(i)           fy(i)           fz(i)
     53  4.74620000E+00 -4.29640000E-01 -7.35980000E+00 -2.99870813E+03  1.92124700E+04  3.24430504E+04
     54  4.79600000E+00  1.11010000E+00 -6.81730000E+00 -5.68707301E+03 -3.37690949E+04  1.36901791E+04
     55  5.71260000E+00  3.29600000E+00 -7.85780000E+00 -3.21763981E+03 -2.16457276E+04  3.64976263E+04
     56  6.30280000E+00  2.51960000E+00 -7.63680000E+00 -1.69061966E+04  2.75716896E+04 -1.08948354E+04
     57  5.18100000E+00  3.55160000E+00 -7.05030000E+00  1.89540900E+04 -6.99645376E+03 -2.82815139E+04
     58  5.27320000E+00 -1.93000000E+00 -8.45060000E-01 -2.84500081E+04  5.80442711E+03 -3.35091515E+04
     59  4.46860000E+00 -1.33650000E+00 -8.25980000E-01  2.86177170E+04 -1.93959438E+04  1.72023292E+03
     60  5.30320000E+00 -2.42380000E+00 -1.71410000E+00  6.27072073E+02  1.42195101E+04  2.83204019E+04
     61 -7.18840000E+00 -4.34750000E+00  1.57670000E+00  8.55937020E+03 -3.17473169E+04  2.68512649E+04
     62 -6.32750000E+00 -4.84660000E+00  1.67600000E+00 -2.66568271E+04  1.76584626E+04 -2.26669109E+03
     63 -7.84240000E+00 -4.67060000E+00  2.26080000E+00  2.10555005E+04  1.39280111E+04 -2.58472494E+04
     64 -5.44020000E-01 -4.91210000E+00 -2.18000000E+00  1.28913571E+04 -3.84666847E+04  1.55073676E+04
     65 -7.47200000E-01 -5.78600000E+00 -2.62170000E+00  5.00997522E+03  2.72115710E+04  1.59262942E+04
     66  8.54150000E-02 -5.06180000E+00 -1.41750000E+00 -1.85195039E+04  8.52473435E+03 -2.74816336E+04
     67 -7.55980000E+00 -8.38970000E+00 -3.14890000E+00 -1.93313084E+04  3.57243141E+04  2.19823733E+04
     68 -7.80120000E+00 -7.51110000E+00 -3.56090000E+00  1.08395111E+04 -3.20496109E+04  1.41232416E+04
